University Name,State,Control,Male/Female ratio,Student/Faculty Ratio,SAT Verbal,SAT Maths,Fees Yearly,% aid,% admit,% enrolled,University Life,Academice rating, Social Rating,Quality of life ratio 
CORPUS-CHRISTI-STATE-U, TEXAS, SMALL-CITY,70 to 30,12 to 1,250,250,4- $,40,80,70,2.00,1,3,3
Morgan-state, Maryland, state,40 to 60,13 to 1,300,325,4- $,70,50,50,2.00,2,2,2
UNIVERSITY-OF-TEXAS, TEXAS, SMALL-CITY,50 to 50,15 to 1,300,300,4- $,40,60,60,4.00,3,5,5
EASTMAN-SCHOOL-OF-MUSIC, NEWYORK, URBAN,40 to 60,7 to 1,400,400,10+ $,40,15,70,4.00,3,4,4
SAM-HOUSTON-STATE-UNIVERSITY, TEXAS, SUBURBAN,50 to 50,30 to 1,400,400,4-7 $,30,80,70,2.00,2,2,2
WALLA-WALLA-COLLEGE, WASHINGTON, SMALL-TOWN,54 to 46,10 to 1,400,400,7-10 $,70,70,60,2.00,2,2,3
OREGON-INSTITUTE-OF-TECHNOLOGY, OREGON, SUBURBAN,3 to 1,14 to 1,404,443,4-7 $,15,80,60,2.00,3,2,2
NEWYORKIT, NEWYORK, SMALL-TOWN,55 to 45,20 to 1,410,470,4-7 $,75,80,50,2.00,2,3,2
AUGSBURG, MINNESOTA, SMALL-TOWN,13 to 10,10 to 1,420,490,4- $,80,85,50,3.00,1,3,4
LESLEY, MASSACHUSETTS, URBAN,20 to 80,9 to 1,420,400,4-7 $,40,70,50,3.00,2,3,4
Pratt, newyork, private,60 to 40,7 to 1,425,475,4-7 $,80,50,60,2.00,3,1,2
PRATT, NEWYORK, URBAN,60 to 40,7 to 1,425,475,4-7 $,80,50,60,2.00,3,1,2
SAN-JOSE-STATE, CALIFORNIA, URBAN,50 to 50,28 to 1,425,465,4- $,20,60,50,3.00,4,2,3
SETON-HALL, NEWJERSEY, SMALL-TOWN,50 to 50,28 to 1,430,452,4-7 $,60,65,45,3.00,3,3,2
UNIVERSITY-OF-BRIDGEPORT, CONNECTICUT, SMALL-CITY,53 to 47,20 to 1,432,488,10+ $,35,80,25,3.00,1,4,4
UNIVERSITY-OF-HARTFORD, CONNECTICUT, SUBURBAN,45 to 55,13 to 1,445,491,10+ $,40,75,35,3.00,3,3,3
